,file,nProperty,variable,variable_construct
0,Access01_C.csv,STATEFP,2-digit State code,Access to MOUDs
1,Access01_C.csv,COUNTYFP,5-digit County code (state + county),Access to MOUDs
2,Access01_C.csv,minDisMOUD,,Access to MOUDs
3,Access01_C.csv,minDisBup,,Access to MOUDs
4,Access01_C.csv,minDisMeth,,Access to MOUDs
5,Access01_C.csv,minDisNalV,,Access to MOUDs
6,Access01_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to MOUDs
7,Access01_T.csv,STATEFP,2-digit State code,Access to MOUDs
8,Access01_T.csv,COUNTYFP,5-digit County code (state + county),Access to MOUDs
9,Access01_T.csv,TRACTCE,6-digit Census Tract designation,Access to MOUDs
10,Access01_T.csv,minDisMOUD,,Access to MOUDs
11,Access01_T.csv,minDisBup,,Access to MOUDs
12,Access01_T.csv,minDisMeth,,Access to MOUDs
13,Access01_T.csv,minDisNalV,,Access to MOUDs
14,Access01_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to MOUDs
15,Access01_Z.csv,moudMinDis,,Access to MOUDs
16,Access01_Z.csv,metMinDis,,Access to MOUDs
17,Access01_Z.csv,metTime,,Access to MOUDs
18,Access01_Z.csv,metCount,Count of methadone providers in 30 minutes,Access to MOUDs
19,Access01_Z.csv,metScore,,Access to MOUDs
20,Access01_Z.csv,bupMinDis,,Access to MOUDs
21,Access01_Z.csv,bupTime,Driving time (min) to nearest buprenorphine provider,Access to MOUDs
22,Access01_Z.csv,bupCount,Count of buprenorphine providers in 30 minutes,Access to MOUDs
23,Access01_Z.csv,bupScore,,Access to MOUDs
24,Access01_Z.csv,nalMinDis,,Access to MOUDs
25,Access01_Z.csv,nalTime,Driving time (min) to nearest naltrexone provider,Access to MOUDs
26,Access01_Z.csv,nalCount,Count of naltrexone providers in 30 minutes,Access to MOUDs
27,Access01_Z.csv,nalScore,,Access to MOUDs
28,Access02_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Health Centers
29,Access02_T.csv,TRACTCE,6-digit Census Tract designation,Access to Health Centers
30,Access02_T.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
31,Access02_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Health Centers
32,Access02_Z.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
33,Access03_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Hospitals
34,Access03_T.csv,TRACTCE,6-digit Census Tract designation,Access to Hospitals
35,Access03_T.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
36,Access03_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Hospitals
37,Access03_Z.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
38,Access04_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Pharmacies
