,file,nProperty,variable,variable_construct
0,Access01_C.csv,STATEFP,,Access to MOUDs
1,Access01_C.csv,COUNTYFP,,Access to MOUDs
2,Access01_C.csv,minDisMOUD,,Access to MOUDs
3,Access01_C.csv,minDisBup,,Access to MOUDs
4,Access01_C.csv,minDisMeth,,Access to MOUDs
5,Access01_C.csv,minDisNalV,,Access to MOUDs
6,Access01_T.csv,GEOID,,Access to MOUDs
7,Access01_T.csv,STATEFP,,Access to MOUDs
8,Access01_T.csv,COUNTYFP,,Access to MOUDs
9,Access01_T.csv,TRACTCE,,Access to MOUDs
10,Access01_T.csv,minDisMOUD,,Access to MOUDs
11,Access01_T.csv,minDisBup,,Access to MOUDs
12,Access01_T.csv,minDisMeth,,Access to MOUDs
13,Access01_T.csv,minDisNalV,,Access to MOUDs
14,Access01_Z.csv,ZCTA,,Access to MOUDs
15,Access01_Z.csv,moudMinDis,,Access to MOUDs
16,Access01_Z.csv,metMinDis,,Access to MOUDs
17,Access01_Z.csv,metTime,,Access to MOUDs
18,Access01_Z.csv,metCount,Count of methadone providers in 30 minutes,Access to MOUDs
19,Access01_Z.csv,metScore,,Access to MOUDs
20,Access01_Z.csv,bupMinDis,,Access to MOUDs
21,Access01_Z.csv,bupTime,Driving time (min) to nearest buprenorphine provider,Access to MOUDs
22,Access01_Z.csv,bupCount,Count of buprenorphine providers in 30 minutes,Access to MOUDs
23,Access01_Z.csv,bupScore,,Access to MOUDs
24,Access01_Z.csv,nalMinDis,,Access to MOUDs
25,Access01_Z.csv,nalTime,Driving time (min) to nearest naltrexone provider,Access to MOUDs
26,Access01_Z.csv,nalCount,Count of naltrexone providers in 30 minutes,Access to MOUDs
27,Access01_Z.csv,nalScore,,Access to MOUDs
28,Access02_T.csv,GEOID,,Access to Health Centers
29,Access02_T.csv,TRACTCE,,Access to Health Centers
30,Access02_T.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
31,Access02_Z.csv,ZCTA,,Access to Health Centers
32,Access02_Z.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
33,Access03_T.csv,GEOID,,Access to Hospitals
34,Access03_T.csv,TRACTCE,,Access to Hospitals
35,Access03_T.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
36,Access03_Z.csv,ZCTA,,Access to Hospitals
37,Access03_Z.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
38,Access04_T.csv,GEOID,,Access to Pharmacies
39,Access04_T.csv,TRACTCE,,Access to Pharmacies
40,Access04_T.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
41,Access04_Z.csv,ZCTA,,Access to Pharmacies
42,Access04_Z.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
43,Access05_T.csv,GEOID,,Access to Mental Health Providers
44,Access05_T.csv,TRACTCE,,Access to Mental Health Providers
45,Access05_T.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
46,Access05_Z.csv,ZCTA,,Access to Mental Health Providers
47,Access05_Z.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
48,Access06_T.csv,TRACTCE,,Access to Substance Use Treatment Facilities
49,Access06_T.csv,GEOID,,Access to Substance Use Treatment Facilities
50,Access06_T.csv,NAME,,Access to Substance Use Treatment Facilities
51,Access06_T.csv,LSAD,,Access to Substance Use Treatment Facilities
52,Access06_T.csv,ALAND,,Access to Substance Use Treatment Facilities
53,Access06_T.csv,AWATER,,Access to Substance Use Treatment Facilities
54,Access06_T.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
55,Access06_Z.csv,ZCTA,,Access to Substance Use Treatment Facilities
56,Access06_Z.csv,pop,,Access to Substance Use Treatment Facilities
57,Access06_Z.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
58,Access07_T.csv,TRACTCE,,Access to Opioid Treatment Programs
59,Access07_T.csv,GEOID,,Access to Opioid Treatment Programs
60,Access07_T.csv,NAME,,Access to Opioid Treatment Programs
61,Access07_T.csv,LSAD,,Access to Opioid Treatment Programs
62,Access07_T.csv,ALAND,,Access to Opioid Treatment Programs
63,Access07_T.csv,AWATER,,Access to Opioid Treatment Programs
64,Access07_T.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
65,Access07_Z.csv,ZCTA,,Access to Opioid Treatment Programs
66,Access07_Z.csv,pop,,Access to Opioid Treatment Programs
67,Access07_Z.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
68,BE01_C.csv,COUNTYFP,,
69,BE01_C.csv,totUnits,Total Occupied Housing Units,
70,BE01_C.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
71,BE01_C.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
72,BE01_C.csv,mobileP,Mobile Homes %,Mobile Homes
73,BE01_C.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
74,BE01_C.csv,rentalP,Rentals %,Rental Rates
75,BE01_C.csv,unitDens,Housing Unit Density,Housing Unit Density
76,BE01_S.csv,STATEFP,,
77,BE01_S.csv,totUnits,Total Occupied Housing Units,
78,BE01_S.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
79,BE01_S.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
80,BE01_S.csv,mobileP,Mobile Homes %,Mobile Homes
81,BE01_S.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
82,BE01_S.csv,rentalP,Rentals %,Rental Rates
83,BE01_S.csv,unitDens,Housing Unit Density,Housing Unit Density
84,BE01_T.csv,GEOID,,
85,BE01_T.csv,totUnits,Total Occupied Housing Units,
86,BE01_T.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
87,BE01_T.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
88,BE01_T.csv,mobileP,Mobile Homes %,Mobile Homes
89,BE01_T.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
90,BE01_T.csv,rentalP,Rentals %,Rental Rates
91,BE01_T.csv,unitDens,Housing Unit Density,Housing Unit Density
92,BE01_Z.csv,ZCTA,,
93,BE01_Z.csv,totUnits,Total Occupied Housing Units,
94,BE01_Z.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
95,BE01_Z.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
96,BE01_Z.csv,mobileP,Mobile Homes %,Mobile Homes
97,BE01_Z.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
98,BE01_Z.csv,rentalP,Rentals %,Rental Rates
99,BE01_Z.csv,unitDens,Housing Unit Density,Housing Unit Density
100,BE02_RUCA_C.csv,COUNTYFP,,Urban/Suburban/ Rural Classification
101,BE02_RUCA_C.csv,rcaUrbP,,Urban/Suburban/ Rural Classification
102,BE02_RUCA_C.csv,rcaSubrbP,,Urban/Suburban/ Rural Classification
103,BE02_RUCA_C.csv,rcaRuralP,,Urban/Suburban/ Rural Classification
104,BE02_RUCA_C.csv,state,,Urban/Suburban/ Rural Classification
105,BE02_RUCA_C.csv,name,,Urban/Suburban/ Rural Classification
106,BE02_RUCA_C.csv,note,,Urban/Suburban/ Rural Classification
107,BE02_RUCA_C.csv,totPop10,,Urban/Suburban/ Rural Classification
108,BE02_RUCA_C.csv,urbPop10,Urban Population Total (2010),Urban/Suburban/ Rural Classification
109,BE02_RUCA_C.csv,rurlPop10,Rural Population Total (2010),Urban/Suburban/ Rural Classification
110,BE02_RUCA_C.csv,cenRuralP,Rural Population % (2010),Urban/Suburban/ Rural Classification
111,BE02_RUCA_T.csv,GEOID,,Urban/Suburban/ Rural Classification
112,BE02_RUCA_T.csv,RUCA1,,Urban/Suburban/ Rural Classification
113,BE02_RUCA_T.csv,RUCA2,,Urban/Suburban/ Rural Classification
114,BE02_RUCA_T.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
115,BE02_RUCA_Z.csv,ZCTA,,Urban/Suburban/ Rural Classification
116,BE02_RUCA_Z.csv,RUCA1,,Urban/Suburban/ Rural Classification
117,BE02_RUCA_Z.csv,RUCA2,,Urban/Suburban/ Rural Classification
118,BE02_RUCA_Z.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
119,BE03_C.csv,COUNTYFP,,Alcohol Outlet Density
120,BE03_C.csv,county,,Alcohol Outlet Density
121,BE03_C.csv,county_name,,Alcohol Outlet Density
122,BE03_C.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
123,BE03_C.csv,totPopE,,Alcohol Outlet Density
124,BE03_C.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
125,BE03_C.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
126,BE03_C.csv,alcPerCap,,Alcohol Outlet Density
127,BE03_S.csv,STATEFP,,Alcohol Outlet Density
128,BE03_S.csv,State,,Alcohol Outlet Density
129,BE03_S.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
130,BE03_S.csv,totPopE,,Alcohol Outlet Density
131,BE03_S.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
132,BE03_S.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
133,BE03_S.csv,alcPerCap,,Alcohol Outlet Density
134,BE03_T.csv,GEOID,,Alcohol Outlet Density
135,BE03_T.csv,TRACTCE,,Alcohol Outlet Density
136,BE03_T.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
137,BE03_T.csv,totPopE,,Alcohol Outlet Density
138,BE03_T.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
139,BE03_T.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
140,BE03_T.csv,alcPerCap,,Alcohol Outlet Density
141,BE03_Z.csv,ZCTA,,Alcohol Outlet Density
142,BE03_Z.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
143,BE03_Z.csv,totPopE,,Alcohol Outlet Density
144,BE03_Z.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
145,BE03_Z.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
146,BE03_Z.csv,alcPerCap,,Alcohol Outlet Density
147,BE04_C.csv,COUNTYFP,,
148,BE04_C.csv,DmySgrg,Hypersegregated Cities,Hypersegregated City
149,BE04_C.csv,DmyBlckBlt,African American South,Southern Black Belt
150,BE04_C.csv,PrcNtvRsrv,Native American & Tribal Lands,Native American Reservations
151,BE05_C.csv,COUNTYFP,,Residential Segregation Indices
152,BE05_C.csv,dissim.b,Segregation: Dissimilarity (Black),Residential Segregation Indices
153,BE05_C.csv,inter.bw,Segregation: Interaction (Black),Residential Segregation Indices
154,BE05_C.csv,iso.b,Segregation: Isolation (Black),Residential Segregation Indices
155,BE05_C.csv,dissim.h,Segregation: Dissimilarity (Hispanic),Residential Segregation Indices
156,BE05_C.csv,inter.hw,Segregation: Interaction (Hispanic),Residential Segregation Indices
157,BE05_C.csv,iso.h,Segregation: Isolation (Hispanic),Residential Segregation Indices
158,BE05_C.csv,dissim.a,Segregation: Dissimilarity (Asian),Residential Segregation Indices
159,BE05_C.csv,inter.aw,Segregation: Interaction (Asian),Residential Segregation Indices
160,BE05_C.csv,iso.a,Segregation: Isolation (Asian),Residential Segregation Indices
161,COVID01_C.csv,COUNTYFP,,Cumulative Case Count
162,COVID01_C.csv,Cm200121,,Cumulative Case Count
163,COVID01_C.csv,Cm200122,,Cumulative Case Count
164,COVID01_C.csv,Cm200123,,Cumulative Case Count
165,COVID01_C.csv,Cm200124,,Cumulative Case Count
166,COVID01_C.csv,Cm200125,,Cumulative Case Count
167,COVID01_C.csv,Cm200126,,Cumulative Case Count
168,COVID01_C.csv,Cm200127,,Cumulative Case Count
169,COVID01_C.csv,Cm200128,,Cumulative Case Count
170,COVID01_C.csv,Cm200129,,Cumulative Case Count
171,COVID01_C.csv,Cm200130,,Cumulative Case Count
172,COVID01_C.csv,Cm200131,,Cumulative Case Count
173,COVID01_C.csv,Cm200201,,Cumulative Case Count
174,COVID01_C.csv,Cm200202,,Cumulative Case Count
175,COVID01_C.csv,Cm200203,,Cumulative Case Count
176,COVID01_C.csv,Cm200204,,Cumulative Case Count
177,COVID01_C.csv,Cm200205,,Cumulative Case Count
178,COVID01_C.csv,Cm200206,,Cumulative Case Count
179,COVID01_C.csv,Cm200207,,Cumulative Case Count
180,COVID01_C.csv,Cm200208,,Cumulative Case Count
181,COVID01_C.csv,Cm200209,,Cumulative Case Count
182,COVID01_C.csv,Cm200210,,Cumulative Case Count
183,COVID01_C.csv,Cm200211,,Cumulative Case Count
184,COVID01_C.csv,Cm200212,,Cumulative Case Count
185,COVID01_C.csv,Cm200213,,Cumulative Case Count
186,COVID01_C.csv,Cm200214,,Cumulative Case Count
187,COVID01_C.csv,Cm200215,,Cumulative Case Count
188,COVID01_C.csv,Cm200216,,Cumulative Case Count
189,COVID01_C.csv,Cm200217,,Cumulative Case Count
190,COVID01_C.csv,Cm200218,,Cumulative Case Count
191,COVID01_C.csv,Cm200219,,Cumulative Case Count
192,COVID01_C.csv,Cm200220,,Cumulative Case Count
193,COVID01_C.csv,Cm200221,,Cumulative Case Count
194,COVID01_C.csv,Cm200222,,Cumulative Case Count
195,COVID01_C.csv,Cm200223,,Cumulative Case Count
196,COVID01_C.csv,Cm200224,,Cumulative Case Count
197,COVID01_C.csv,Cm200225,,Cumulative Case Count
198,COVID01_C.csv,Cm200226,,Cumulative Case Count
199,COVID01_C.csv,Cm200227,,Cumulative Case Count
200,COVID01_C.csv,Cm200228,,Cumulative Case Count
201,COVID01_C.csv,Cm200229,,Cumulative Case Count
202,COVID01_C.csv,Cm200301,,Cumulative Case Count
203,COVID01_C.csv,Cm200302,,Cumulative Case Count
204,COVID01_C.csv,Cm200303,,Cumulative Case Count
205,COVID01_C.csv,Cm200304,,Cumulative Case Count
206,COVID01_C.csv,Cm200305,,Cumulative Case Count
207,COVID01_C.csv,Cm200306,,Cumulative Case Count
208,COVID01_C.csv,Cm200307,,Cumulative Case Count
209,COVID01_C.csv,Cm200308,,Cumulative Case Count
210,COVID01_C.csv,Cm200309,,Cumulative Case Count
211,COVID01_C.csv,Cm200310,,Cumulative Case Count
212,COVID01_C.csv,Cm200311,,Cumulative Case Count
213,COVID01_C.csv,Cm200312,,Cumulative Case Count
214,COVID01_C.csv,Cm200313,,Cumulative Case Count
215,COVID01_C.csv,Cm200314,,Cumulative Case Count
216,COVID01_C.csv,Cm200315,,Cumulative Case Count
217,COVID01_C.csv,Cm200316,,Cumulative Case Count
218,COVID01_C.csv,Cm200317,,Cumulative Case Count
219,COVID01_C.csv,Cm200318,,Cumulative Case Count
220,COVID01_C.csv,Cm200319,,Cumulative Case Count
221,COVID01_C.csv,Cm200320,,Cumulative Case Count
222,COVID01_C.csv,Cm200321,,Cumulative Case Count
223,COVID01_C.csv,Cm200322,,Cumulative Case Count
224,COVID01_C.csv,Cm200323,,Cumulative Case Count
225,COVID01_C.csv,Cm200324,,Cumulative Case Count
226,COVID01_C.csv,Cm200325,,Cumulative Case Count
227,COVID01_C.csv,Cm200326,,Cumulative Case Count
228,COVID01_C.csv,Cm200327,,Cumulative Case Count
229,COVID01_C.csv,Cm200328,,Cumulative Case Count
230,COVID01_C.csv,Cm200329,,Cumulative Case Count
231,COVID01_C.csv,Cm200330,,Cumulative Case Count
