file,nProperty,variable,variable_construct
Access01_C.csv,STATEFP,,Access to MOUDs
Access01_C.csv,COUNTYFP,,Access to MOUDs
Access01_C.csv,minDisMOUD,,Access to MOUDs
Access01_C.csv,minDisBup,,Access to MOUDs
Access01_C.csv,minDisMeth,,Access to MOUDs
Access01_C.csv,minDisNalV,,Access to MOUDs
Access01_T.csv,GEOID,,Access to MOUDs
Access01_T.csv,STATEFP,,Access to MOUDs
Access01_T.csv,COUNTYFP,,Access to MOUDs
Access01_T.csv,TRACTCE,,Access to MOUDs
Access01_T.csv,minDisMOUD,,Access to MOUDs
Access01_T.csv,minDisBup,,Access to MOUDs
Access01_T.csv,minDisMeth,,Access to MOUDs
Access01_T.csv,minDisNalV,,Access to MOUDs
Access01_Z.csv,ZCTA,,Access to MOUDs
Access01_Z.csv,moudMinDis,,Access to MOUDs
Access01_Z.csv,metMinDis,,Access to MOUDs
Access01_Z.csv,metTime,,Access to MOUDs
Access01_Z.csv,metCount,Count of methadone providers in 30 minutes,Access to MOUDs
Access01_Z.csv,metScore,,Access to MOUDs
Access01_Z.csv,bupMinDis,,Access to MOUDs
Access01_Z.csv,bupTime,Driving time (min) to nearest buprenorphine provider,Access to MOUDs
Access01_Z.csv,bupCount,Count of buprenorphine providers in 30 minutes,Access to MOUDs
Access01_Z.csv,bupScore,,Access to MOUDs
Access01_Z.csv,nalMinDis,,Access to MOUDs
Access01_Z.csv,nalTime,Driving time (min) to nearest naltrexone provider,Access to MOUDs
Access01_Z.csv,nalCount,Count of naltrexone providers in 30 minutes,Access to MOUDs
Access01_Z.csv,nalScore,,Access to MOUDs
Access02_T.csv,GEOID,,Access to Health Centers
Access02_T.csv,TRACTCE,,Access to Health Centers
Access02_T.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
Access02_Z.csv,ZCTA,,Access to Health Centers
Access02_Z.csv,minDisFQHC,Distance (mi) to nearest FQHC,Access to Health Centers
Access03_T.csv,GEOID,,Access to Hospitals
Access03_T.csv,TRACTCE,,Access to Hospitals
Access03_T.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
Access03_Z.csv,ZCTA,,Access to Hospitals
Access03_Z.csv,minDisHosp,Distance (mi) to nearest hospital,Access to Hospitals
Access04_T.csv,GEOID,,Access to Pharmacies
Access04_T.csv,TRACTCE,,Access to Pharmacies
Access04_T.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
Access04_Z.csv,ZCTA,,Access to Pharmacies
Access04_Z.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
Access05_T.csv,GEOID,,Access to Mental Health Providers
Access05_T.csv,TRACTCE,,Access to Mental Health Providers
Access05_T.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
Access05_Z.csv,ZCTA,,Access to Mental Health Providers
Access05_Z.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
Access06_T.csv,TRACTCE,,Access to Substance Use Treatment Facilities
Access06_T.csv,GEOID,,Access to Substance Use Treatment Facilities
Access06_T.csv,NAME,,Access to Substance Use Treatment Facilities
Access06_T.csv,LSAD,,Access to Substance Use Treatment Facilities
Access06_T.csv,ALAND,,Access to Substance Use Treatment Facilities
Access06_T.csv,AWATER,,Access to Substance Use Treatment Facilities
Access06_T.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
Access06_Z.csv,ZCTA,,Access to Substance Use Treatment Facilities
Access06_Z.csv,pop,,Access to Substance Use Treatment Facilities
Access06_Z.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
Access07_T.csv,TRACTCE,,Access to Opioid Treatment Programs
Access07_T.csv,GEOID,,Access to Opioid Treatment Programs
Access07_T.csv,NAME,,Access to Opioid Treatment Programs
Access07_T.csv,LSAD,,Access to Opioid Treatment Programs
Access07_T.csv,ALAND,,Access to Opioid Treatment Programs
Access07_T.csv,AWATER,,Access to Opioid Treatment Programs
Access07_T.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
Access07_Z.csv,ZCTA,,Access to Opioid Treatment Programs
Access07_Z.csv,pop,,Access to Opioid Treatment Programs
Access07_Z.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
BE01_C.csv,COUNTYFP,,
BE01_C.csv,totUnits,Total Occupied Housing Units,
BE01_C.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
BE01_C.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
BE01_C.csv,mobileP,Mobile Homes %,Mobile Homes
BE01_C.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
BE01_C.csv,rentalP,Rentals %,Rental Rates
BE01_C.csv,unitDens,Housing Unit Density,Housing Unit Density
BE01_S.csv,STATEFP,,
BE01_S.csv,totUnits,Total Occupied Housing Units,
BE01_S.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
BE01_S.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
BE01_S.csv,mobileP,Mobile Homes %,Mobile Homes
BE01_S.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
BE01_S.csv,rentalP,Rentals %,Rental Rates
BE01_S.csv,unitDens,Housing Unit Density,Housing Unit Density
BE01_T.csv,GEOID,,
BE01_T.csv,totUnits,Total Occupied Housing Units,
BE01_T.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
BE01_T.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
BE01_T.csv,mobileP,Mobile Homes %,Mobile Homes
BE01_T.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
BE01_T.csv,rentalP,Rentals %,Rental Rates
BE01_T.csv,unitDens,Housing Unit Density,Housing Unit Density
BE01_Z.csv,ZCTA,,
BE01_Z.csv,totUnits,Total Occupied Housing Units,
BE01_Z.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
BE01_Z.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
BE01_Z.csv,mobileP,Mobile Homes %,Mobile Homes
BE01_Z.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
BE01_Z.csv,rentalP,Rentals %,Rental Rates
BE01_Z.csv,unitDens,Housing Unit Density,Housing Unit Density
BE02_RUCA_C.csv,COUNTYFP,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,rcaUrbP,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,rcaSubrbP,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,rcaRuralP,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,state,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,name,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,note,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,totPop10,,Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,urbPop10,Urban Population Total (2010),Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,rurlPop10,Rural Population Total (2010),Urban/Suburban/ Rural Classification
BE02_RUCA_C.csv,cenRuralP,Rural Population % (2010),Urban/Suburban/ Rural Classification
BE02_RUCA_T.csv,GEOID,,Urban/Suburban/ Rural Classification
BE02_RUCA_T.csv,RUCA1,,Urban/Suburban/ Rural Classification
BE02_RUCA_T.csv,RUCA2,,Urban/Suburban/ Rural Classification
BE02_RUCA_T.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
BE02_RUCA_Z.csv,ZCTA,,Urban/Suburban/ Rural Classification
BE02_RUCA_Z.csv,RUCA1,,Urban/Suburban/ Rural Classification
BE02_RUCA_Z.csv,RUCA2,,Urban/Suburban/ Rural Classification
BE02_RUCA_Z.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
BE03_C.csv,COUNTYFP,,Alcohol Outlet Density
BE03_C.csv,county,,Alcohol Outlet Density
BE03_C.csv,county_name,,Alcohol Outlet Density
BE03_C.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
BE03_C.csv,totPopE,,Alcohol Outlet Density
BE03_C.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
BE03_C.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
BE03_C.csv,alcPerCap,,Alcohol Outlet Density
BE03_S.csv,STATEFP,,Alcohol Outlet Density
BE03_S.csv,State,,Alcohol Outlet Density
BE03_S.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
BE03_S.csv,totPopE,,Alcohol Outlet Density
BE03_S.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
BE03_S.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
BE03_S.csv,alcPerCap,,Alcohol Outlet Density
BE03_T.csv,GEOID,,Alcohol Outlet Density
BE03_T.csv,TRACTCE,,Alcohol Outlet Density
BE03_T.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
BE03_T.csv,totPopE,,Alcohol Outlet Density
BE03_T.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
BE03_T.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
BE03_T.csv,alcPerCap,,Alcohol Outlet Density
BE03_Z.csv,ZCTA,,Alcohol Outlet Density
BE03_Z.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
BE03_Z.csv,totPopE,,Alcohol Outlet Density
BE03_Z.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
BE03_Z.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
BE03_Z.csv,alcPerCap,,Alcohol Outlet Density
BE04_C.csv,COUNTYFP,,
BE04_C.csv,DmySgrg,Hypersegregated Cities,Hypersegregated City
BE04_C.csv,DmyBlckBlt,African American South,Southern Black Belt
BE04_C.csv,PrcNtvRsrv,Native American & Tribal Lands,Native American Reservations
BE05_C.csv,COUNTYFP,,Residential Segregation Indices
BE05_C.csv,dissim.b,Segregation: Dissimilarity (Black),Residential Segregation Indices
BE05_C.csv,inter.bw,Segregation: Interaction (Black),Residential Segregation Indices
BE05_C.csv,iso.b,Segregation: Isolation (Black),Residential Segregation Indices
BE05_C.csv,dissim.h,Segregation: Dissimilarity (Hispanic),Residential Segregation Indices
BE05_C.csv,inter.hw,Segregation: Interaction (Hispanic),Residential Segregation Indices
BE05_C.csv,iso.h,Segregation: Isolation (Hispanic),Residential Segregation Indices
BE05_C.csv,dissim.a,Segregation: Dissimilarity (Asian),Residential Segregation Indices
BE05_C.csv,inter.aw,Segregation: Interaction (Asian),Residential Segregation Indices
BE05_C.csv,iso.a,Segregation: Isolation (Asian),Residential Segregation Indices
COVID01_C.csv,COUNTYFP,,Cumulative Case Count
COVID01_C.csv,Cm200121,,Cumulative Case Count
COVID01_C.csv,Cm200122,,Cumulative Case Count
COVID01_C.csv,Cm200123,,Cumulative Case Count
COVID01_C.csv,Cm200124,,Cumulative Case Count
COVID01_C.csv,Cm200125,,Cumulative Case Count
COVID01_C.csv,Cm200126,,Cumulative Case Count
COVID01_C.csv,Cm200127,,Cumulative Case Count
COVID01_C.csv,Cm200128,,Cumulative Case Count
COVID01_C.csv,Cm200129,,Cumulative Case Count
COVID01_C.csv,Cm200130,,Cumulative Case Count
COVID01_C.csv,Cm200131,,Cumulative Case Count
COVID01_C.csv,Cm200201,,Cumulative Case Count
COVID01_C.csv,Cm200202,,Cumulative Case Count
COVID01_C.csv,Cm200203,,Cumulative Case Count
COVID01_C.csv,Cm200204,,Cumulative Case Count
COVID01_C.csv,Cm200205,,Cumulative Case Count
COVID01_C.csv,Cm200206,,Cumulative Case Count
COVID01_C.csv,Cm200207,,Cumulative Case Count
COVID01_C.csv,Cm200208,,Cumulative Case Count
COVID01_C.csv,Cm200209,,Cumulative Case Count
COVID01_C.csv,Cm200210,,Cumulative Case Count
COVID01_C.csv,Cm200211,,Cumulative Case Count
COVID01_C.csv,Cm200212,,Cumulative Case Count
COVID01_C.csv,Cm200213,,Cumulative Case Count
COVID01_C.csv,Cm200214,,Cumulative Case Count
COVID01_C.csv,Cm200215,,Cumulative Case Count
COVID01_C.csv,Cm200216,,Cumulative Case Count
COVID01_C.csv,Cm200217,,Cumulative Case Count
COVID01_C.csv,Cm200218,,Cumulative Case Count
COVID01_C.csv,Cm200219,,Cumulative Case Count
COVID01_C.csv,Cm200220,,Cumulative Case Count
COVID01_C.csv,Cm200221,,Cumulative Case Count
COVID01_C.csv,Cm200222,,Cumulative Case Count
COVID01_C.csv,Cm200223,,
COVID01_C.csv,Cm200224,,
COVID01_C.csv,Cm200225,,
COVID01_C.csv,Cm200226,,
COVID01_C.csv,Cm200227,,
COVID01_C.csv,Cm200228,,
COVID01_C.csv,Cm200229,,
COVID01_C.csv,Cm200301,,
COVID01_C.csv,Cm200302,,
COVID01_C.csv,Cm200303,,
COVID01_C.csv,Cm200304,,
COVID01_C.csv,Cm200305,,
COVID01_C.csv,Cm200306,,
COVID01_C.csv,Cm200307,,
COVID01_C.csv,Cm200308,,
COVID01_C.csv,Cm200309,,
COVID01_C.csv,Cm200310,,
COVID01_C.csv,Cm200311,,
COVID01_C.csv,Cm200312,,
COVID01_C.csv,Cm200313,,
COVID01_C.csv,Cm200314,,
COVID01_C.csv,Cm200315,,
COVID01_C.csv,Cm200316,,
COVID01_C.csv,Cm200317,,
COVID01_C.csv,Cm200318,,
COVID01_C.csv,Cm200319,,
COVID01_C.csv,Cm200320,,
COVID01_C.csv,Cm200321,,
COVID01_C.csv,Cm200322,,
COVID01_C.csv,Cm200323,,
COVID01_C.csv,Cm200324,,
COVID01_C.csv,Cm200325,,
COVID01_C.csv,Cm200326,,
COVID01_C.csv,Cm200327,,
COVID01_C.csv,Cm200328,,
COVID01_C.csv,Cm200329,,
COVID01_C.csv,Cm200330,,
COVID01_C.csv,Cm200331,,
COVID01_C.csv,Cm200401,,
COVID01_C.csv,Cm200402,,
COVID01_C.csv,Cm200403,,
COVID01_C.csv,Cm200404,,
COVID01_C.csv,Cm200405,,
COVID01_C.csv,Cm200406,,
COVID01_C.csv,Cm200407,,
COVID01_C.csv,Cm200408,,
COVID01_C.csv,Cm200409,,
COVID01_C.csv,Cm200410,,
COVID01_C.csv,Cm200411,,
COVID01_C.csv,Cm200412,,
COVID01_C.csv,Cm200413,,
COVID01_C.csv,Cm200414,,
COVID01_C.csv,Cm200415,,
COVID01_C.csv,Cm200416,,
COVID01_C.csv,Cm200417,,
COVID01_C.csv,Cm200418,,
COVID01_C.csv,Cm200419,,
COVID01_C.csv,Cm200420,,
COVID01_C.csv,Cm200421,,
COVID01_C.csv,Cm200422,,
COVID01_C.csv,Cm200423,,
COVID01_C.csv,Cm200424,,
COVID01_C.csv,Cm200425,,
COVID01_C.csv,Cm200426,,
COVID01_C.csv,Cm200427,,
COVID01_C.csv,Cm200428,,
COVID01_C.csv,Cm200429,,
COVID01_C.csv,Cm200430,,
COVID01_C.csv,Cm200501,,
COVID01_C.csv,Cm200502,,
COVID01_C.csv,Cm200503,,
COVID01_C.csv,Cm200504,,
COVID01_C.csv,Cm200505,,
COVID01_C.csv,Cm200506,,
COVID01_C.csv,Cm200507,,
COVID01_C.csv,Cm200508,,
COVID01_C.csv,Cm200509,,
COVID01_C.csv,Cm200510,,
COVID01_C.csv,Cm200511,,
COVID01_C.csv,Cm200512,,
COVID01_C.csv,Cm200513,,
COVID01_C.csv,Cm200514,,
COVID01_C.csv,Cm200515,,
COVID01_C.csv,Cm200516,,
COVID01_C.csv,Cm200517,,
COVID01_C.csv,Cm200518,,
COVID01_C.csv,Cm200519,,
COVID01_C.csv,Cm200520,,
COVID01_C.csv,Cm200521,,
COVID01_C.csv,Cm200522,,
COVID01_C.csv,Cm200523,,
COVID01_C.csv,Cm200524,,
COVID01_C.csv,Cm200525,,
COVID01_C.csv,Cm200526,,
COVID01_C.csv,Cm200527,,
COVID01_C.csv,Cm200528,,
COVID01_C.csv,Cm200529,,
COVID01_C.csv,Cm200530,,
COVID01_C.csv,Cm200531,,
COVID01_C.csv,Cm200601,,
COVID01_C.csv,Cm200602,,
COVID01_C.csv,Cm200603,,
COVID01_C.csv,Cm200604,,
COVID01_C.csv,Cm200605,,
COVID01_C.csv,Cm200606,,
COVID01_C.csv,Cm200607,,
COVID01_C.csv,Cm200608,,
COVID01_C.csv,Cm200609,,
COVID01_C.csv,Cm200610,,
COVID01_C.csv,Cm200611,,
COVID01_C.csv,Cm200612,,
COVID01_C.csv,Cm200613,,
COVID01_C.csv,Cm200614,,
COVID01_C.csv,Cm200615,,
COVID01_C.csv,Cm200616,,
COVID01_C.csv,Cm200617,,
COVID01_C.csv,Cm200618,,
COVID01_C.csv,Cm200619,,
COVID01_C.csv,Cm200620,,
COVID01_C.csv,Cm200621,,
COVID01_C.csv,Cm200622,,
COVID01_C.csv,Cm200623,,
COVID01_C.csv,Cm200624,,
COVID01_C.csv,Cm200625,,
COVID01_C.csv,Cm200626,,
COVID01_C.csv,Cm200627,,
COVID01_C.csv,Cm200628,,
COVID01_C.csv,Cm200629,,
COVID01_C.csv,Cm200630,,
COVID01_C.csv,Cm200701,,
COVID01_C.csv,Cm200702,,
COVID01_C.csv,Cm200703,,
COVID01_C.csv,Cm200704,,
COVID01_C.csv,Cm200705,,
COVID01_C.csv,Cm200706,,
COVID01_C.csv,Cm200707,,
COVID01_C.csv,Cm200708,,
COVID01_C.csv,Cm200709,,
COVID01_C.csv,Cm200710,,
COVID01_C.csv,Cm200711,,
COVID01_C.csv,Cm200712,,
COVID01_C.csv,Cm200713,,
COVID01_C.csv,Cm200714,,
COVID01_C.csv,Cm200715,,
COVID01_C.csv,Cm200716,,
COVID01_C.csv,Cm200717,,
COVID01_C.csv,Cm200718,,
COVID01_C.csv,Cm200719,,
COVID01_C.csv,Cm200720,,
