submitter_id	data_category	md5sum	file_size	file_name	core_metadata_collections.submitter_id	data_format	data_type	object_id	type
Access01_C_88f9	County	688a0e019f7ad6a04a986d29fbe1fe9c	178359	Access01_C.csv	health_county25	CSV	Geographic Data	dg.6VTS/7cb7d2a8-3d20-4320-9869-fba982d588f9	reference_file
Access01_T_c147	Tract	f07b57b15fa35ebd4b5d0b54a9459a32	5244735	Access01_T.csv	health_tract26	CSV	Geographic Data	dg.6VTS/946c6c24-a346-4007-a41f-c1e26d72c147	reference_file
Access01_Z_043d	Zip	6813fc41d974e396c9186b935cbd98df	2735756	Access01_Z.csv	health_zip27	CSV	Geographic Data	dg.6VTS/b0c41308-13d3-41b8-9c31-5207d80f043d	reference_file
Access02_T_8ece	Tract	b7ba851616f911a170c086c9058a52b2	1827969	Access02_T.csv	health_tract28	CSV	Geographic Data	dg.6VTS/c51892de-a0db-46c2-9e17-5f08cc078ece	reference_file
Access02_Z_59eb	Zip	48250dad4b3423ee0d9806f68efc47d9	409445	Access02_Z.csv	health_zip29	CSV	Geographic Data	dg.6VTS/4f676ffe-8c5d-4a01-aed2-f1f17ae059eb	reference_file
Access03_T_47fb	Tract	cdd0d888fe6038bcfbcd5e2dba07a23d	1825941	Access03_T.csv	health_tract30	CSV	Geographic Data	dg.6VTS/e2f2e055-c989-4207-b86e-97fff96547fb	reference_file
Access03_Z_5779	Zip	44566494250eafd155d46b7c70fdc838	410275	Access03_Z.csv	health_zip31	CSV	Geographic Data	dg.6VTS/73266032-e76a-4a33-b21d-0f7c5e825779	reference_file
Access04_T_300a	Tract	194cbfcb2bbdc50a9db152c1d0a0f48d	1818236	Access04_T.csv	health_tract32	CSV	Geographic Data	dg.6VTS/5ff23ecf-1e71-4c69-a79f-770bf30f300a	reference_file
Access04_Z_b144	Zip	12ee657738e719d1b7f1f0e50aed5226	402548	Access04_Z.csv	health_zip33	CSV	Geographic Data	dg.6VTS/30810afc-415b-4ed7-aee4-968736bab144	reference_file
Access05_T_0074	Tract	b0964297b865f4dfa0f1bed585a86177	1826125	Access05_T.csv	health_tract34	CSV	Geographic Data	dg.6VTS/84961ef0-eba0-41d6-8971-bec03c7a0074	reference_file
Access05_Z_cc14	Zip	bf5f3138d9fd341e99d4f316968e55d7	410121	Access05_Z.csv	health_zip35	CSV	Geographic Data	dg.6VTS/d4e4fda5-5aec-443d-afa6-ce8b5dd6cc14	reference_file
Access06_T_e08e	Tract	ff31e5453c7149546187254303921d0e	3647709	Access06_T.csv	health_tract36	CSV	Geographic Data	dg.6VTS/d4848e62-d7c9-4993-b1fe-694c2e34e08e	reference_file
Access06_Z_672d	Zip	d860de9a4ada56b7534ca0a71514be65	568122	Access06_Z.csv	health_zip37	CSV	Geographic Data	dg.6VTS/aa9fe9c8-5af5-4e82-874c-75da7165672d	reference_file
Access07_T_0802	Tract	bf8219fd52610b5c3154d8efa4beec8c	3662721	Access07_T.csv	health_tract38	CSV	Geographic Data	dg.6VTS/13d43e7e-18d5-472d-85d4-d2de4e570802	reference_file
Access07_Z_bd59	Zip	b27cc310f1fbb7ae0d461bcab68977c7	578790	Access07_Z.csv	health_zip39	CSV	Geographic Data	dg.6VTS/d136263f-5061-4420-9b8b-544faf7dbd59	reference_file
BE01_C_0bc4	County	2ec6fb2c658f8fa1e4ee3f32bf0af092	148550	BE01_C.csv	"builtenvironment_county92,builtenvironment_county96,builtenvironment_county100,builtenvironment_county104,builtenvironment_county108,builtenvironment_county112"	CSV	Geographic Data	dg.6VTS/985fd707-5168-44f5-bcc7-447287d20bc4	reference_file
BE01_S_85be	State	cc7e25752b8ee93880d83a29252cb16e	2419	BE01_S.csv	"builtenvironment_state91,builtenvironment_state95,builtenvironment_state99,builtenvironment_state103,builtenvironment_state107,builtenvironment_state111"	CSV	Geographic Data	dg.6VTS/f91e62d2-dbe1-4e5b-982f-5f9cc0ce85be	reference_file
BE01_T_e651	Tract	110ec933503990c29f9fafd1bfb58599	3790778	BE01_T.csv	"builtenvironment_tract93,builtenvironment_tract97,builtenvironment_tract101,builtenvironment_tract105,builtenvironment_tract109,builtenvironment_tract113"	CSV	Geographic Data	dg.6VTS/967c74cc-5467-4a84-8872-79975737e651	reference_file
BE01_Z_030a	Zip	25ec5efd07344abe6a807a3301021a30	1501790	BE01_Z.csv	"builtenvironment_zip94,builtenvironment_zip98,builtenvironment_zip102,builtenvironment_zip106,builtenvironment_zip110,builtenvironment_zip114"	CSV	Geographic Data	dg.6VTS/38d8f486-61bc-4e58-ae82-d457a912030a	reference_file
BE02_RUCA_C_f0d4	County	2448a95001d393bee3b42928e97218e9	264968	BE02_RUCA_C.csv	builtenvironment_county115	CSV	Geographic Data	dg.6VTS/fac442cd-f4c5-410d-9f66-5d535987f0d4	reference_file
BE02_RUCA_T_f3f7	Tract	825a63afef096f9cee74a547e2f5cdeb	1890933	BE02_RUCA_T.csv	builtenvironment_tract116	CSV	Geographic Data	dg.6VTS/61791048-2ec4-4379-acaf-abda8eedf3f7	reference_file
BE02_RUCA_Z_dcb7	Zip	14dbc693e9908894046dae818f6f0cbf	823754	BE02_RUCA_Z.csv	builtenvironment_zip117	CSV	Geographic Data	dg.6VTS/ed382ec4-0fac-401c-9a70-02486750dcb7	reference_file
